ВидНоменклатуры	Код	Артикул	Наименование	Ед
Направляющие	2106	PB-0SHX-250-A	Направляющие скрытого монтажа MODERN SLIDE L250 полного выдвижения с доводчиком	компл
Направляющие	2107	PB-0SHX-500-A	Направляющие скрытого монтажа MODERN SLIDE L500 полного выдвижения с доводчиком	компл
Петли мебельные	2108	ZM-ECHC09BEO	Петля GTV HC 09 накладная самозакрывающаяся с ответной планкой H-0, без еврошурупа	шт
ДСП	2109		ДСП 16мм Белый классический W960 ST9 Шуя	м2
Опоры	2110	18007	Колесная опора сдвоенная усиленная с поворотной площадкой d=60	шт
Ручки	2111	785821	Ручка-скоба K6127E AL 96мм, хром	шт
Ручки	2112	785421	Ручка-скоба K6127E AL 128мм, хром	шт
Светодиодные ленты	2140	100627	Профиль врезной алюм. д/светод. ленты, анод. серебро, с мат. экраном и заглушками 21,5х6,8х2000 мм	шт
Светодиодные ленты	2141	105472	Провод соединительный 2х0,5мм2, ШВПМ max. 5А, черно-красный	пог. м
Светодиодные ленты	2142	106715	Светодиодная лента 120 диодов/м.п 2835 хол. белый 12V, 9,6W/м.п., 1000 Lm/m, IP33	пог. м
Светодиодные ленты	2143	121868	Датчик беcконтактный для плиты до 40 мм 12V/50W IP20, AE-WPDRW-00, GTV	шт
[другие материалы]	2144	11463	Кабель-Канал D 60мм бежевый (№2)	шт
Направляющие	2150	104943	Направляющие шариковые полного выдвижения FGV 550 мм H=45мм с доводчиком	компл
Петли мебельные	2151	9551	Петля вкладная 91370.082 Clip-on с доводчиком	шт
Розетки	2152	12240861	Вилка бел/красн с/з с ручкой	шт
ДСП	2155		ЛДСП 16мм Ноче Экко 2750*1830, Древесные поры	м2
Кромка	2156		Кромка ПВХ 0,4*19 орех 4842 С Ноче Экко	пог. м
Кромка	2157		Кромка ПВХ 1,8*19 орех 4842 С Ноче Экко	пог. м
Петли мебельные	2166	ZM-DCHC09-3DBEO	Петля SOLID PLUS накладная самозакрывающаяся, регулировка в 3 плоскостях, без еврошурупа	шт
Цоколи	2168	6762	Цоколь кухонный H100мм L4м, пластик, белый, SCL.100x4000x13mm.WHT	пог. м
Цоколи	2169	9403	Торцевая заглушка цоколя 100мм, пластик, белый	шт
Цоколи	2170	10247	Соединение цоколя 90°(универсальное) 100мм, пластик, белый	шт
Системы выдвижения	2171	10312	Направляющие для ящика Unihopper Magic Box, 500мм (комплект) с доводчиком	компл
Столешницы	2172		Столешница Кедр 5110/1 Андромеда Белая, R9, 1U, 3050х600х40	пог. м
Стеновые панели	2173		Стеновая панель Кедр 5110/1 Андромеда Белая, Б/З, 3050х600х6	пог. м
Столешницы	2174		Кромка с/к Кедр 5110/1 Андромеда Белая, Б/З, 3050х44х40	пог. м
Планки торцевые	2175	038.93.сер	Планка угловая, H=38мм, R=9мм, матовая	шт
Планки торцевые	2176	038.92.сер	Планка соединительная, H=38мм, R=9мм, матовая	шт
Зеркала и стекла	2177		Зеркало 4мм б/ц, 2300*835, полировка	шт
Наполнение шкафов	2178	IN01050A	Профиль горизонтальный нижний серебро INTEGRO, L-6000	шт
Наполнение шкафов	2179	IN01140A	Профиль горизонтальный верхний серебро INTEGRO, L-6000	шт
Наполнение шкафов	2180	IN01180A	Профиль-ручка INTEGRO асим. серебро (анод), L-5400	шт
Опоры	2181	119099	Опора мебельная INTEGRATO с шипами, H40 регулировка 25мм	шт
Наполнение шкафов	2182	201.CR 03	Соединитель (перпендикулярный 2-х труб), хром	шт
