ВидНоменклатуры	Код	Артикул	Наименование	Ед
Упаковка	276	BOXAzov	Гофрокороб 430*290*710 Т-24 бурый	шт
Упаковка	277	BOXF50	Гофрокороб 485*395*510 Т-24 бурый	шт
Упаковка	278	BOXAttika	Гофрокороб 500*295*710 Т-24 бурый	шт
Упаковка	279	BOXF50LK	Гофрокороб 510*400*455 Т-24 бурый	шт
Упаковка	280	BOXReal	Гофрокороб 545*345*465 Т-24 бурый	шт
Упаковка	281	BOXDublin	Гофрокороб 570*450*660 Т-24 бурый	шт
Упаковка	282	BOXZP	Гофрокороб 610*130*710 Т-24 бурый	шт
Упаковка	283	BOXF60LKC	Гофрокороб 610*400*460 Т-24 бурый	шт
Упаковка	336		Лента клейкая 48*50 бел. 1 цв. СКС	пог. м
Упаковка	337	0120-434Х	Лента упаковочная 48мм*66м "Нова Ролл 204", прозр.	пог. м
Упаковка	338	0120-534Х	Лента упаковочная 48мм*66м "Нова Ролл 205", прозр.	пог. м
Упаковка	380	0405-044/	Пакет Zip-Lock 150мм*200мм 30 мкм	шт
Упаковка	381		Пакет Zip-Lock 200мм*250мм	шт
Упаковка	382		Пакет Zip-Lock 200мм*300мм	шт
Упаковка	383	0405-034/	Пакет Zip-Lock 60мм*80мм 25 мкм	шт
Упаковка	384		Пакет Zip-Lock 60мм*80мм 25мкм	шт
Упаковка	406		Риббон L.KURZ Wax Black (K100) 110 мм/300 м	м
Упаковка	407		Риббон L.KURZ Wax Black (K100N) 80мм/300м	м
Упаковка	445		Этикетка самоклеящаяся "ТермоЭКО", 30*20 мм	шт
Упаковка	446		Этикетка самоклеящаяся п/г бум., 75*120 мм	шт
Упаковка	920		Лента упаковочная 48мм*66м "Нова Ролл 203", прозр.	пог. м
Упаковка	927	BOXDreja	Гофрокороб 458*360*710 Т-24 бурый	шт
Упаковка	1223		Пленка стретч NR	шт
Упаковка	1350	BOXQdr	Гофрокороб 610*455*555 Т-24 бурый	шт
Упаковка	1418		Лента клейкая 72*50 бел. 2 цв. СКС	пог. м
Упаковка	1593		Этикетка самоклеящаяся "ТермоТОП", 75*120 мм (втулка 40мм, намотка 0,3 тыс.шт., 1ряд)	шт
Упаковка	1594		Пенополистирол ПСБС 15 (1*1,2*0,02), лист 1,2м2	м2
Упаковка	1648	BOXTolPrKrov	Гофрокороб 470*470*455 Т-24 бурый	шт
Упаковка	1649	BOXTolVan	Гофрокороб 640*460*550 Т-24 бурый	шт
Упаковка	1653	уг606020	Уголок из пенопласта 60*60 мм (толщина 20)	шт
Упаковка	1654		Лента п/п 15*1 d200 белый (1200м)	пог. м
Упаковка	1655		Уголок защитный пластиковый 50мм (70*110 65мм)	шт
Упаковка	1656		Уголок упаковочный У-1 К	шт
Упаковка	1657		Скрепа упаковочная 16мм (PP16) оцинкованная (1000шт)	шт
Упаковка	1658		Скрепа PET 16 оц.	шт
Упаковка	1659		Пленка 50см/20мк (прозр.первичка, нетто 1,4кг)	шт
Упаковка	1660		Скотч 48/120/45 (FP) прозрачный	шт
Упаковка	1661		Лента ПЭТ упаковочная 16*1 (1100м)	пог. м
Упаковка	1663		Подложка упаковочная вспененная Стенофон 2 мм 1.05х50 м 52,5 кв.м	пог. м
Упаковка	1689		Уголок упаковочный 22мм	шт
Упаковка	1690		Уголок 17 мм прозрачный	шт
Компакт плиты	1793		Паллета 4200*1400	шт
Упаковка	1913	BOXQdrCB1	Гофрокороб 610*470*455 Т-24 бурый	шт
Упаковка	1980		Термоэтикетка, ширина 30мм (20мм, 2000шт/рулон, втулка 40мм)	шт
Упаковка	1996		Гофрокартон ДС ролевой ф. 105 см (намотка 25 м)	пог. м
Упаковка	2390	BOXF60LK-3	Гофрокороб 580*400*450 Т-24 бурый	шт
Толкатели	137	TLK-04M-WT	Упор-защелка фасада с магнитом, белый	шт
Направляющие	227	BUZ345B.300Zl	Направляющие шариковые полного выдвижения JET с доводчиком, ширина 45мм, длина 300мм	компл
Временная / техническая	247		Техническая номенклатура (рабочее)	м3
Зеркала и стекла	262		Зеркало 4мм серое, 345*905, с обработкой	шт
Петли мебельные	263	10154	Петля накладная Slide-On с площадкой под саморез	шт
Толкатели	269		Амортизатор D10 врезной стандартный	шт
Толкатели	270		Амортизатор Salic type, 20142	шт
Метизы	271	БП-00046481	Болт М6х50 нерж. А2 DIN 933	шт
Метизы	273	119431	Винт с полукруглой головкой М4х20-45 универсальный DIN967	шт
Выключатели	274		Выключатель врезной Кнопка, белый	шт
Метизы	275	4,60716E+12	Гайка с фланцем самостопор. М6 DIN6923	шт
ДСП	284		ДСП 16мм Белый премиум W1000 ST9 Шуя	м2
ДСП	285		ДСП 25мм Дуб Небраска натуральный Н3331 ST10 Шуя	м2
Метизы	286		Дюбель Tchappai синий 8х40	шт
Метизы	287		Дюбель-гвоздь 6х40 потайной борт	шт
Стяжки/эксцентрики/евровинты	288	3851	Евровинт 7,0х50 стальной, оцинкованный	шт
Стяжки/эксцентрики/евровинты	289	801794	Еврошуруп пот.гол.оцинк. 6,3х13	шт
Заглушки	290	3633	Заглушка №23 под шестигранник	шт
Заглушки	291	4261	Заглушка эксцентрика №23	шт
Заглушки	292		Заглушка эксцентрика платиново-серый	шт
Зеркала и стекла	293		Зеркало 4мм 500*700	шт
Зеркала и стекла	294		Зеркало 4мм 500*700 с матовкой	шт
Клеи	295		Клей для стекла и зеркал	шт
Клеи	296		Клей ПУ KLEIBERIT 435.7	кг
Клеи	297		Клей-расплав Unimelt 519, Турция	кг
Опоры	298	9447	Клипса универсальная черная (для кух. опоры)	шт
Системы выдвижения	299	15512	Комплект Tango на ящик 500мм с традиционными боковинами стандартной высоты, белый	компл
Профили	300		Комплектующие для Профиля №10 серебро	шт
Натяжители	302	10105	Корректор фасада врезной TN101, регулировка посередине 1988мм	шт
Профили	303	68441	Крепежная полоса анодированная 2000 мм	шт
Кромка	304		Кромка ПВХ 0,4*19 Белый Премиум (2000пм)	пог. м
Кромка	305		Кромка ABS Белый платиновый W980 SM б/к 28х0,4 мм	пог. м
Кромка	306		Кромка ABS Диамант серый U963 ST9 б/к 19*0,4	пог. м
Кромка	307		Кромка ABS Диамант серый U963 ST9 б/к 19*0,8	пог. м
Кромка	308		Кромка ABS Оникс серый U960 ST9 б/к 19*0,4	пог. м
Кромка	309		Кромка ABS Серый пыльный U732 ST9 б/к 19*0,4 мм	пог. м
Кромка	310		Кромка меламин. с клеем 40мм, белый фон 2250	пог. м
Кромка	311		Кромка ПВХ 0,4*19 без клея Серый кристалл (200п.м)	пог. м
Кромка	312		Кромка ПВХ 0,4*19 Дуб Атланта 4158 (200м)	пог. м
Кромка	313		Кромка ПВХ 0,4*19 Белая гладкая 2001	пог. м
Кромка	314		Кромка ПВХ 0,4*19 Титан 8973 (200м)	пог. м
Кромка	315		Кромка ПВХ 1*19 Белая гладкая 2001PR (200м)	пог. м
Кромка	316		Кромка ПВХ 2*19 Капучино 0301	пог. м
Кромка	317		Кромка ПВХ 2*19 Кашемир 5981	пог. м
Кромка	318		Кромка ПВХ 2*19 Белая гладкая 2001	пог. м
Кромка	319		Кромка ПВХ 2*19 Сливочный / Кремовый	пог. м
Кромка	320		Кромка ПВХ 2*25 Дуб Атланта 6286 (100м)	пог. м
ДСП	321		ЛДСП 16мм Дуб Шамони 2750*1830	м2
ДСП	322		ЛДСП 16мм Платина 2750*1830	м2
ДСП	323		ЛДСП 2750*1830*16мм (белый фон, матовая), Вохтога	м2
ДСП	324		ЛДСП 6459 SM Белый Платинум/Гладкая	м2
ДСП	325		ЛДСП 8681 SU Белый Бриллиант/Гладкая 2800*2070*16	м2
ДСП	326		ЛДСП Lamarty 2750*1830*16мм Белый	м2
ДСП	327		ЛДСП Белый гладкий W3342G 2500*1830*16	м2
ДСП	328		ЛДСП Белый гладкий W3343G 2800*2070*16	м2
ДСП	329		ЛДСП Белый Гладкий Матовый 16мм 2750*1830 Шексна	м2
ДСП	330		ЛДСП Белый Супер ГЛАДКИЙ (Матовый) 16мм 2750*1830 Шексна	м2
ДСП	331		ЛДСП Белый Супер Кристалл 16мм 2750*1830 Шексна	м2
ДСП	332		ЛДСП 16мм Капучино 2750*1830	м2
ДСП	333		ЛДСП 16мм Кашемир 2750*1830	м2
ДСП	334		ЛДСП 16мм Сливочный 2750*1830	м2
ДСП	335		ЛДСП сорт1/1 тип Р2 2750*1830*16мм (белый-супер, матовый)	м2
МДФ	339		ЛМДФ 1 ст.Белый/Гладкая Deep 2800*2070*16	м2
МДФ	340		ЛМДФ 1ст. Белый/Стандарт ST 2500*2070*16	м2
Толкатели	341	MAG A16	Магнит под саморез, D16мм	шт
МДФ	342		МДФ MB двусторонний белый платиновый ламинированный W980SM/W980SM 2800*2070*10 мм EGGER	м2
МДФ	343		МДФ MB односторонняя белая ламинированная W980SM 2800*2070*19 мм EGGER	м2
МДФ	344		МДФ ST односторонняя Белая ламинированная W980 SM 2800*2070*16мм EGGER	м2
МДФ	345		МДФ ламинированный односторонний белый 2800*2070*19мм Кастамону	м2
МДФ	346		МДФ ламинированный односторонний белый 2800*2070*19мм Кроностар	м2
МДФ	347		МДФ Серый 3мм 2500*2070	м2
МДФ	348		МДФ Шлиф. 19мм*2800*2070 Кастамону F	м2
Упаковка	349		Наклейка объемная смоляная SKS 10*20мм	шт
Направляющие	350	NS-FK-P03-350	Направляющая скр. монтажа (полное выдв., с регул. планкой), push-to-open, 350 мм	компл
Направляющие	351	15660	Направляющие для ящика Unihopper Magic Box, 300мм, push-to-open	компл
Направляющие	352	10412	Направляющие для ящика Unihopper Magic Box, 300мм, с доводчиком	компл
Направляющие	353	15661	Направляющие для ящика Unihopper Magic Box, 350мм, push-to-open	компл
Направляющие	354	10411	Направляющие для ящика Unihopper Magic Box, 350мм, с доводчиком	компл
Направляющие	355	10441	Направляющие скрытого типа EXCEL FGV 300мм 3D Clip-on полного выдв. с доводчиком	компл
Направляющие	356	DB8881Zn/300	Направляющие скрытые для ящиков полного выдвижения 300мм с доводчиком, B-Slide, Boyard	компл
Направляющие	357	10417	Направляющие шариковые полного выдвижения 250мм H=35мм, ECO	компл
Направляющие	358	10418	Направляющие шариковые полного выдвижения 300мм H=35мм	компл
Направляющие	359	10424	Направляющие шариковые полного выдвижения 300мм, Н=45 ECO	компл
Направляющие	360	13001	Направляющие шариковые полного выдвижения MF с доводчиком, ширина 45мм, длина 300мм	компл
Направляющие	361	15371	Направляющие шариковые полного выдвижения Push to open с доводчиком 45*350мм	компл
Направляющие	362	20100	Направляющие шариковые скр. типа MF, полного выдвижения, Clip-on, с доводчиком, 300мм	компл
Направляющие	363		Направляющие шариковые скр. типа MF, полного выдвижения, Clip-on, с доводчиком, 450мм	компл
Направляющие	364		Направляющие шариковые скр. типа MF, полного выдвижения, Clip-on, с доводчиком, 500мм	компл
Направляющие	365	9802	Направляющие шариковые скрытого типа 300мм Clip-on полного выдв. с доводчиком	компл
Направляющие	366	18050	Направляющие шариковые скрытого типа 300мм Clip-on полного выдв. push to open, 3D	компл
Направляющие	367	DM45-300-POW	Направляющие шариковые, полного выдвижения push-to-open, 45/300 мм	компл
Направляющие	368	DM45-300DW	Направляющие шариковые, полного выдвижения с доводчиком, 45/300 мм	компл
Направляющие	369	DM35-250W	Направляющие шариковые, полного выдвижения, 35/250 мм	компл
Опоры	370	120986	Опора для корпусной мебели FF-100 40*40, H50-70, квадратная, пластиковая, матовый хром	шт
Ограничители сифона	371		Ограничитель для сифона пластиковый U-образный антрацит	шт
Ограничители сифона	372		Ограничитель для сифона пластиковый U-образный белый	шт
Ограничители сифона	373		Ограничитель для сифона пластиковый U-образный серый	шт
Опоры	374	ADJ6.020CM	Опора декоративная H20+8мм хром матовый	шт
Опоры	375	4775	Опора кух. рег. 95-125мм, разборная, черная (без винта и клипсы)	шт
Опоры	376	1247	Опора регулируемая ОРС 01-К	шт
Метизы	377	46441	Демпферы, отбойники силиконовые (10х1,5мм)	шт
ЛКМ	378	LP.H 110	Отвердитель светостойкий для ПУ материалов (тара 10 л)	кг
Толкатели	379	MAG D16	Ответная планка для магнита под саморез, D16 мм	шт
Петли мебельные	385	9071205	Петля быстрого монтажа Hettich Sensys 8645I TH 52 накладная 110*, с демпфером	шт
Петли мебельные	386	11027	Петля накладная Clip-on с доводчиком нового поколения	шт
Петли мебельные	387	9071627	Планка монтажная для петли Sensys/Intermat H=3, в комплекте с 2 евровинтами, Hettich	шт
Планки торцевые	388	TG04.0199.07.035	Планка торцевая левая EGGER 38 E, алюминий	шт
Планки торцевые	389	TG04.0199.07.003	Планка торцевая левая EGGER 38 E, белый	шт
Планки торцевые	390	TG04.0199.07.001	Планка торцевая левая EGGER 38 E, хром	шт
Планки торцевые	391	TG04.0199.07.055	Планка торцевая левая EGGER 38 E, черный глянцевый	шт
Планки торцевые	392	TG04.0299.07.035	Планка торцевая правая EGGER 38 E, алюминий	шт
Планки торцевые	393	TG04.0299.07.003	Планка торцевая правая EGGER 38 E, белый	шт
Планки торцевые	394	TG04.0299.07.001	Планка торцевая правая EGGER 38 E, хром	шт
Планки торцевые	395	TG04.0299.07.055	Планка торцевая правая EGGER 38 E, черный глянцевый	шт
Пленки ПВХ	396		Пленка ПВХ 120-6Т DM Белый глянец 0,35х1400мм (182м2)	м2
Пленки ПВХ	397		Пленка ПВХ СС5**7*D 01(31)	м2
Упаковка	398		Пленка стретч NR (УДАЛИТЬ)	шт
Подвесы	399	6999	Подвеска 2 шурупа прорезь сверху	шт
Подвесы	400	92	Подвеска регулируемая универсальная тип 1 (белая)	шт
Каркасы	401		Подстолье	шт
Полкодержатели	402	3072	Полкодержатель метал. никель 1/1	шт
Профили	403	00-00001589	Профиль №10 серебро	шт
Профили	404	122623	Профиль для фасадов DS10 широкий 20*45*2950 (8мм), матовое серебро	шт
Сетки и решетки	405	VG-2020 WH	Решетка вентиляционная универсальная, 227х68 мм, пластик, белый	шт
Ручки	408		Ручка С36 металлик (3) + хром (индивидуальная упаковка с шнур.)	шт
Ручки	409		Ручка СА-1 (96 мм) / (124 мм)	шт
Ручки	410	Алди С-25 металлик	Ручка скоба Алди С-25 96 мм Металлик	шт
Ручки	411		Ручка-кнопка хром матовый	шт
Ручки	412	75503	Ручка-скоба В63-128, матовый хром (АЛЮМИНИЙ)	шт
Ручки	413	7555	Ручка-скоба 63-320, хром	шт
Ручки	414	S-4060-256	Ручка-скоба Kerron 256мм, хром	шт
Ручки	415	11316	Ручка-скоба ОН-63-192, хром	шт
Ручки	416		Ручка-скоба С18 (256 мм) металлик+металлик	шт
Ручки	417	С36 металлик(3) + хром	(УБРАТЬ В АРХИВ В 24г) Ручка-скоба С36 хром матовый+хром 128 мм	шт
Ручки	418		Ручка-скоба, 256 мм	шт
Ручки	419	S-4050-256	Ручка-скоба, 256 мм, хром, S-4050-256	шт
Метизы	420		Саморез 3,5х16мм с потайной головкой, крест, цинк белый	шт
Метизы	421	7889	Саморез 3,5х16мм с потайной головкой, крест, цинк желтый	шт
Метизы	422		Саморез 3,5х20мм с потайной головкой, крест, цинк белый	шт
Метизы	423	8155	Саморез 3,5х64мм 3кг (967шт) с пот.головкой, крест,оксидированный	шт
Метизы	424	9920	Саморез 4х16мм с потайной головкой, крест, цинк белый	шт
Метизы	425		Саморез универсальный 4х30 белый цинк	шт
Зеркала и стекла	426		Скотч двусторонний для зеркал 19мм*20м	шт
Зеркала и стекла	427		Стекло под Профиль №10 серебро	шт
Стяжки/эксцентрики/евровинты	428	11154	Стяжка эксцентриковая (комплект эксцентрик+шток с пластиком саморез)	шт
Толкатели	429		Толкатель фасадов нажимной врезной белый, d10	шт
Толкатели	430		Толкатель фасадов нажимной с магнитом врезной белый, d10	шт
Уголки мебельные	431		Уголок 30*30*30	шт
Профили	432	115426	Уголок сборочный для профиля широкого с винтами, сталь оцинк.	шт
Профили	433	115421	Уплотнитель для фасадного профиля L-образный	пог. м
Направляющие	434	10413	Фиксатор направляющих скрытого типа Clip-on 3D для Unihopper	компл
ХДФ	435		ХДФ лакированная односторонняя Белый фасадный 2800*2070*3	м2
Метизы	436	105265	Шайба кузовная оцинкованная 6x18 мм DIN 9021 (200 шт.)	шт
Ручки	437	10919	Шайба пластиковая бесцветная	шт
Подвесы	438		Шина для подвеса 37*100мм	шт
[другой крепеж]	439	651	Шкант 8х30 мм с насечкой	шт
Стяжки/эксцентрики/евровинты	440	9468	Шток эксцентрика усиленного D20мм евровинт	шт
Метизы	441		Шуруп с прямым крюком 6х40	шт
Стяжки/эксцентрики/евровинты	442		Эксцентрик быстромонтируемый S16 бежевый	шт
Стяжки/эксцентрики/евровинты	443	SE013	Эксцентрик усиленный в пластиковом корпусе 16 мм, серый	шт
Стяжки/эксцентрики/евровинты	444	9467	Эксцентрик усиленный пластиковый D 20мм белый	шт
[другие материалы]	447	110547	Кабель-канал, заглушка для проводки D60, серый	шт
Направляющие	448	10031	Направляющие шариковые полного выдвижения 250мм H=35мм	компл
Профили	449	7626	Труба d=25мм х 3,0м круглая сталь, хром	пог. м
Цоколи	450		Цоколь кухонный ПВХ Н 150мм, №13 Алюминий шлифованный	пог. м
Цоколи	451		Цоколь кухонный ПВХ Н 150мм, №8 Гладкий алюминий	пог. м
Выключатели	483		выключатель сенсорный	шт
Метизы	484		Гайка М8	шт
Метизы	491	83387766	Дюбель потайной Standers PND L 6х50 мм, с шурупом 4х60 мм, нейлон, 50 шт.	шт
Вкладыши	515	82622782	Коврик универсальный Delinia 50х150 см пластик цвет серый	шт
Светодиодные ленты	518	119345	Коннектор для светодиодной ленты 3528 IP20 (8мм) 60 диодов/м.п., LR27	шт
Планки торцевые	622	81967073	Планка для столешницы торцевая 38 мм 62.5 см металл цвет чёрный матовый	шт
ИТО	625	00-00000812	Подводка гибкая для воды 100 см, 1/2" в/н	шт
Светодиодные ленты	644	82458034	Профиль алюминиевый для светодиодной ленты угловой накладной 1 м цвет чёрный	шт
Светодиодные ленты	645	13864895	Профиль для светодиодной ленты угловой 2 м	шт
Стяжки/эксцентрики/евровинты	704	5515 15 MPR	Стяжка кроватная - срединная часть	шт
Стяжки/эксцентрики/евровинты	705	5515 90 P1PR	Стяжка кроватная - часть 1	шт
Стяжки/эксцентрики/евровинты	706	5515 90 P2PR	Стяжка кроватная - часть 2	шт
ИТО	730	БП-00009474	Уголок смонтированный №20 (основной)	шт
Зеркала и стекла	799		Зеркало 4мм б/ц, 598*798, с обработкой	шт
Зеркала и стекла	800		Зеркало 4мм б/ц, 1395*595, с обработкой	шт
Ручки	804	RS-124-128 BL	Ручка-скоба, 128 мм, матовый черный, RS-124-128 BL	шт
Профили	806	163332	Профиль для установки зеркал анодир. алюм. 5,5мм бронза (2,7м)	м
Кромка	807		Кромка ПВХ 2*25 Дуб Атланта 117, GP-Plast (100м)	пог. м
Кромка	808		Кромка ПВХ 0,4*19 Палисандр темный 168, GP-Plast (200м)	пог. м
Кромка	809		Кромка ПВХ 2*35 Кашемир 5981BS, GP-Plast (100м)	пог. м
Кромка	810		Кромка ПВХ 2*19 Кашемир 5981BS, GP-Plast (100м)	пог. м
Кромка	811		Кромка ПВХ 0,4*19 Кашемир 5981BS, GP-Plast (200м)	пог. м
Кромка	812		Кромка ПВХ 2*35 Дуб Атланта 117, GP-Plast (100м)	пог. м
Кромка	813		Кромка ПВХ 0,4*19 Дуб Атланта 117, GP-Plast (200м)	пог. м
Кромка	814		Кромка ПВХ 1*19 Дуб Атланта 117, GP-Plast (200м)	пог. м
Клеи	815		Клей-расплав ЭВА кромочный LERAMELT LR 101N, 25 кг	кг
ЛКМ	816	LIG7000/26	Разбавитель LIGNUM 7000 байцев для распыления н.у. 25,8кг /тара 30л/	кг
ЛКМ	818	LKA000417/1272	Красители ALCEA 99U/XM8000-87 Орех античный (1л/0,94кг)	л
ЛКМ	819	LIG9010/26	ПУ-разбавитель LIGNUM 9010 н.у. 25,3кг /тара 30л/	кг
ЛКМ	820	LSI2211/25-20	Лак акриловый ALCEA 9901/СП20 б/цв матовый, н.у. 25л	л
ЛКМ	821	LSI8106/13	Отвердитель ICSAM 9909/0699 для акриловых ЛКМ, н.у. 2,5л	л
Фанера	825		Фанера ФСФ 2/2 (ВВ/ВВ) 15*1525*3050 ш2 СВЕЗА	м2
Пленки ПВХ	828	813-2	Пленка ПВХ GreenWood ZB 813-2 Кварц софт	м2
Кромка	829	CH66-0903	Кромка ПВХ 0,45*19 Вяз Нэнси (200м)	пог. м
ХДФ	830		Плита ТДВПО 2745*1220*3,2 мм светло-серый	м2
ДСП	831		ЛДСП 22мм Дуб Шамони 2750*1830	м2
Кромка	832		Кромка ПВХ 1*19 Дуб Атланта D1480/WH1459	пог. м
Кромка	833		Кромка ПВХ 0,4*19 Кашемир U495/U474	пог. м
ДСП	834		ЛДСП 16мм Дуб Делано 2750*1830	м2
ДСП	835		ЛДСП 16мм Уни Неро 2750*1830	м2
Кромка	836		Кромка ПВХ 0,4*19 Черный U361/WS340	пог. м
Зеркала и стекла	838		Зеркало 4мм б/ц, 2000*750, с обработкой	шт
Опоры	839	120084	Подпятник, опора регулируемая D17xH17, М6 шестигранная	шт
Опоры	840	120085	Футорка металлическая М6, 8*16 мм, забивная	шт
Ручки	841	101783	Ручка-профиль, торцевая MONTE RT110, 128 / 150 мм, алюминий, черный, Boyard	шт
Ручки	842	195358	Ручка-профиль, торцевая MONTE RT110, 224x2 / 500 мм, алюминий, черный, Boyard	шт
Ручки	843	195362	Ручка-профиль, торцевая MONTE RT110, 384x2 / 900 мм, алюминий, черный, Boyard	шт
Ручки	919	S-4050-288	Ручка-скоба, 288 мм, хром, S-4050-288	шт
МДФ	922		МДФ MB односторонняя белая ламинированная W980SM 2800*2070*16 мм EGGER	м2
Клеи	923		Клей-расплав Lion ED 580 натуральный	кг
Направляющие	924	DM45-300W	Направляющие шариковые, полного выдвижения, 300 мм	шт
Пленки ПВХ	926		Пленка ПВХ СС813*-6D	м2
Петли мебельные	938	10296	Петля угловая 90 Clip-on с доводчиком	шт
Стяжки/эксцентрики/евровинты	939	1799	Стяжка межсекционная металл d=5мм, М4х27, никель	шт
Опоры	940	6381111	Подпятник регулируемый М6	шт
Опоры	941	3699	Футорка, крепеж для опоры М6 (упак 2500)	шт
Ручки	942	11134	Ручка-рейлинг d=10 128 мм, мат.хром	шт
Направляющие	943	13003	Направляющие шариковые полного выдвижения MF с доводчиком, ширина 45мм, длина 400мм	компл
Ручки	944	107573	Ручка-скоба Н76-128, черная	шт
Петли мебельные	945	9713	Петля угловая 90 MF Slide-on	шт
Направляющие	946	10427	Направляющие шариковые полного выдвижения 450мм, Н=45	компл
Ручки	947	10903	Ручка-скоба Н27-128, античная бронза	шт
Наполнение кухонь	948	10601	Посудосушитель Var3 450мм 418х280х75(35)мм (комплект)	шт
Наполнение кухонь	949	3961	Посудосушитель 600мм с поддоном 565х256, хром	шт
Пленки ПВХ	1005		Пленка ПВХ 120-6Т DM Белый глянец 0,30х1400мм (210м2)	м2
Профили	1008	81960926	Погонаж круглый деревянный сращенный 15х2100-2200мм хвоя Экстра	шт
Петли мебельные	1025	14277457	Петля мебельная карточная Левша 35х22 мм сталь цвет золото 2 шт.	шт
Расходные материалы	1027	89145625	Лента клейкая двусторонняя Невский Крепеж 48 мм х 25 м полипропилен цвет желтый	шт
Метизы	1028	18739090	Пластина соединительная PS 80x40x1.8	шт
ДСП	1031		ДСП 16мм Робиния Брэнсон натуральная коричневая Н1251 ST19 Шуя	м2
Петли мебельные	1032	10100412	Петля MASTER накладная 110* с доводчиком, Clip-On, 48AX, Samet	шт
Петли мебельные	1033	10263851	Планка монтажная для IMPRO/INVO/MASTER с регулировкой 3D, дистанция 5 мм, Samet	шт
Петли мебельные	1034	10258001	Заглушка декоративная на плечо для петель MASTER с логотипом SAMET	шт
Петли мебельные	1035	1025505	Заглушка декоративная на чашку петли IMPRO/MASTER, Samet	шт
Наполнение шкафов	1036	104769	Карман к полке сетчатой, серый НД	шт
Петли мебельные	1037	110267	Петля со стопором, SFD-006	шт
Профили	1038	111319	Труба 30*15*3000*0,7мм, овал, хром	пог. м
Наполнение шкафов	1039	112682	Клипса к полке сетчатой, серая	шт
Наполнение шкафов	1040	112683	Наконечник к полке сетчатой, серый	шт
Профили	1041	112774	Штангодержатель овал 15мм, цинковый сплав, литая, никель	шт
Направляющие	1042	545145R745XC0	Направляющие шариковые полного выдвижения 45х450мм с доводчиком, BBS2-R, цинк, FGV	компл
Полкодержатели	1043	119879	Менсолодержатель скрытый без регулировки, 10х100 мм, 5 кг/шт, коричневый	шт
Опоры	1044	14.266/SG15-T03	Подпятник на гвозде, черный, 120083	шт
Заглушки	1045	122574	Заглушка к эксцентрику дуб светлый №15, D18 (1000шт. в упаковке), Россия	шт
Петли мебельные	1046	H5010	Планка монтажная NEO с экс. рег. H=0, BOYARD, 125473	шт
Петли мебельные	1047	H7CP	Заглушка на корпус петель NEO с логотипом BOYARD, 125477	шт
Петли мебельные	1048	H8CP	Заглушка на чашку петель NEO 125478, BOYARD	шт
Петли мебельные	1049	H306A02	Петля NEO PROFI с эксц. рег. накладная 105* с амортизатором, clip-on, 125482, BOYARD	шт
Опоры	1050	141040	Подпятник для мебели на плиту до 16мм, крепление шурупом, белый, Россия	шт
Опоры	1051	141041	Подпятник для мебели на плиту до 16мм, крепление шурупом, чёрный, Россия	шт
Направляющие	1052	DB4515Zn/350	Направляющие шариковые полного выдвижения 45х350мм push to open, 193516, Boyard	компл
Столешницы	1053	1378877	Плинтус 4100x25x25 Мрамор Каррара белый F204, 24000058, Egger	шт
Кромка	1054		Кромка ПВХ 1*19 Дуб Делано темный/ Палисандр темный 168 (200 пог.м)	пог. м
Кромка	1055		Кромка ABS Серый пыльный U732 ST9 б/к 19*0,8 мм	пог. м
Кромка	1056		Кромка ABS Дуб Небраска натуральный Н3331 ST10 б/к 19*0,8мм	пог. м
Кромка	1057		Кромка ПВХ 1*19 Белый фон 2250-K01, Galoplast (200м)	пог. м
ДСП	1058		ДСП 16мм Дуб Небраска натур. Н3331 ST10 Шуя	м2
ДСП	1059		ДСП 16мм Серый пыльный U732 ST9 Шуя	м2
Подвесы	1060	NVS-01-01	Навес регулируемый универсальный тип1, нагрузка 55кг, белый	шт
Кромка	1061		Кромка ABS Шелк серый U707 ST9 б/к 19х0,8 мм	пог. м
Кромка	1062		Кромка ABS Шелк серый U707 ST9 б/к 19х0,4 мм	пог. м
Подвесы	1063	801.22.Z1.IN.SX	Навес 801 левый, нагрузка (100кг), 102389, CAMAR	шт
Подвесы	1064	801.22.Z1.IN.DX	Навес 801 правый, нагрузка (100кг), 102390, CAMAR	шт
Подвесы	1065	801.00.01.00.SX	Накладка для навеса 704/801, белая, левая, 102391, CAMAR	шт
Подвесы	1066	801.00.01.00.DX	Накладка для навеса 704/801, белая, правая, 102392, CAMAR	шт
ДСП	1067		ДСП 16мм Серый шелк U707 ST9 Шуя 2800*2070*16	м2
Вкладыши	1068	PC14/GRPH/292x480	Лоток для столовых приборов блок-константа для столовых приборов BLOKI 190289, графит, Boyard	шт
Вкладыши	1069	PC12/GRPH/157x480	Универсальный широкий блок-лоток BLOKI 190293, графит, Boyard	шт
Вкладыши	1070	PC11/GRPH/107x480	Дополнительный блок-лоток для столовых приборов BLOKI 190295, графит, Boyard	шт
Вкладыши	1071	PC10/GRPH/107x480	Универсальный узкий блок-лоток широкого назначения BLOKI 190297, графит, Boyard	шт
Цоколи	1072	10.0422R 4M	Цоколь пластиковый (высота 100, длина 4000 мм), черный	пог. м
Ручки	1073	PH.RU02.160.AL	Ручка-профиль 160мм (L=190мм) алюминий матовый	шт
Цоколи	1074	19.0422R.10	Уголок 90 градусов универсальный (высота 100), черный	шт
Цоколи	1075	19.0422R.40	Конечный элемент (высота 100), черный	шт
